Fragment ID,Neuron Annotation,Neurotransmitter Classification
858604499,CRE015_R,acetylcholine
1139909038,DNa03_R,acetylcholine
987117151,LAL010_R,acetylcholine
1262360335,LAL014_R,acetylcholine
1140249804,LAL018_R,acetylcholine
944262351,PFL3(PB12c)_L1_C3,acetylcholine
851493896,PFL3(PB12c)_L1_C3,acetylcholine
1258686925,PFL3(PB12c)_L2_C4,acetylcholine
912925080,PFL3(PB12c)_L3_C5,acetylcholine
789130596,PFL3(PB12c)_L4_C6,acetylcholine
911569552,PFL3(PB12c)_L5_C7,acetylcholine
880875927,PFL3(PB12c)_L5_C7,acetylcholine
941939879,PFL3(PB12c)_L6_C8,acetylcholine
1004700437,PFL3(PB12c)_L7_C9,acetylcholine
666994301,PFL3(PB12c)_R2_C1_irreg,acetylcholine
5813078378,DN ?,gaba
1138579549,LAL040,gaba
5813042961,LAL046_R,gaba
1510311956,LAL121(AVM20)_L,gaba